NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,PAKIRANJE,MARKA,MALOPRODAJNA_CIJENA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
Gazirano piæe naranèa sa sladilom,0003610,2,2l,PET-Boca,Freeway,0.49,0.25,4056489159131,Piæe,0.89
Palette Int. Color Creme boja SK4,0003664,0.11,1komad,Kart. na prekl.,Henkel,4.25,4.25,3838824159652,Kozmetika,5.25
Palette Int. Color Creme boja SK4,0003664,0.11,1komad,Kart. na prekl.,Henkel,4.25,4.25,3838824349206,Kozmetika,5.25
Palette Int. Color Creme boja SK4,0003664,0.11,1komad,Kart. na prekl.,Henkel,4.25,4.25,3838824350516,Kozmetika,5.25
Palette Int. Color Creme boja SK4,0003664,0.11,1komad,Kart. na prekl.,Henkel,4.25,4.25,3838905170064,Kozmetika,5.25
"Axe Bodyspray sort., 150ml ",0003696,0.097,150ml,Limenka,,4.55,30.33,8718114148304,Kozmetika,4.55
Signal zubna pasta Whitening,0003703,0.125,125ml,Tuba,,2.99,23.92,5900300132515,Kozmetika,2.99
"Crema di Latte Macchiato, 17% Vol.",0003744,0.513,"0,5l",Boca,-,5.99,11.98,4304493262324,Piæe,5.99
"Coca Cola Zero, 2l",0003782,2,2l,PET-Boca,Coca-Cola,2.25,1.13,5449000131843,Piæe,2.25
Talijanski umaci SK8,0003805,0.42,400ml,Staklo,Combino,1.79,4.48,20003937,Hrana,1.79
"Trajno mlijeko 2,8% m.m.",0003904,1.031,1l,Pakovanje,Pilos,0.75,0.75,3859892277710,Hrana,0.79
"Trajno mlijeko 2,8% m.m.",0003904,1.031,1l,Pakovanje,Pilos,0.75,0.75,9066000783900,Hrana,0.79
Tvrdi bomboni u limenci SK7,0003929,0.2,200g,Limenka,Sweet Corner,1.59,7.95,20078690,Hrana,1.59
Pro Vitamin balzam za kosu SK9,0003947,0.299,300ml,PET-Boca,Cien,1.49,4.97,20250881,Kozmetika,1.49
Pro Vitamin balzam za kosu SK9,0003947,0.299,300ml,PET-Boca,Cien,1.49,4.97,4056489176367,Kozmetika,1.49
Pro-Vitamin Šampon 2u1 SK3,0003948,0.311,300ml,PET-Boca,Cien,1.49,4.97,20253981,Kozmetika,1.49
Nestlé KitKat Minis 18 kom.,0004448,0.301,301g,Vrecica,Nestlé,5.99,19.9,7613035312050,Hrana,4.99
Old Spice Deo stick,0004454,0.056,50ml,PET-Boca,,3.85,77,4015600858735,Kozmetika,3.85
Old Spice Deo stick,0004454,0.056,50ml,PET-Boca,,3.85,77,4084500490543,Kozmetika,3.85
Old Spice Deo stick,0004454,0.056,50ml,PET-Boca,,3.85,77,8001841283906,Kozmetika,3.85
Bebimil Hrana za dojenèad 1,0004473,0.6,600g,Pakovanje,,11.15,18.58,3859892697730,Hrana,11.25
"Schweppes Bitter Lemon, 1,5l",0004496,1.58,"1,5l",PET-Boca,Coca-Cola,2.23,1.49,5449000044709,Piæe,2.19
"Schweppes Tonic, 1,5l",0004499,1.55,"1,5l",PET-Boca,Coca-Cola,2.23,1.49,5449000044679,Piæe,2.23
"NUK Silikonske Dude varalice, Vel.1",0004531,0.032,2komad,Pakovanje,Mapa,5.29,5.29,4008600377832,Proizvodi za kuæanstvo,5.29
Heineken pivo 5.0 %,0004768,0.5,"0,5l",Limenka,,1.67,3.34,3830001714692,Piæe,1.67
"Trajno mlijeko 2,8% m.m.",0004777,12.372,12x1l,Pakovanje,Pilos,8.29,0.69,20778644,Hrana,8.29
Mileram 22% m.m.,0004807,0.9,900g,Kanta,Pilos,2.89,3.21,4056489317142,Hrana,2.89
Pelinkovac 31% vol.,0004836,1.01,1l,Boca,Alliance,7.89,7.89,4304493259300,Piæe,7.89
"Kviki Grickalice, SK1",0004962,0.13,130g,Vrecica,,1.29,9.92,3850104237461,Hrana,1.29
"Kviki Grickalice, SK1",0004962,0.13,130g,Vrecica,,1.29,9.92,3850104239618,Hrana,1.29
Carski sir komad,0004986,0.25,250g,Atmos-Pakiranje,Pilos,2.59,10.36,20980436,Hrana,2.59
Zdenka Topljeni sir SK1,0005039,0.14,140g,Pakovanje,,2.19,15.64,3858888590109,Hrana,2.19
Nestlé Nescafe 2u1/3u1,0005074,0.137,"80g, 140g, 155g",Vrecica,,2.99,37.38,5998710967650,Piæe,2.99
Nestlé Nescafe 2u1/3u1,0005074,0.137,"80g, 140g, 155g",Vrecica,,2.99,37.38,7613036842365,Piæe,2.99
Nestlé Nescafe 2u1/3u1,0005074,0.137,"80g, 140g, 155g",Vrecica,,2.99,17.59,7613036842365,Piæe,2.99
Nestlé Nescafe 2u1/3u1,0005074,0.137,"80g, 140g, 155g",Vrecica,,2.99,17.59,7613036843881,Piæe,2.99
Nestlé Nescafe 2u1/3u1,0005074,0.137,"80g, 140g, 155g",Vrecica,,2.99,37.38,7613036844475,Piæe,2.99
Nestlé Nescafe 2u1/3u1,0005074,0.137,"80g, 140g, 155g",Vrecica,,2.99,21.36,8445290749413,Piæe,2.99
Nestlé Nescafe 2u1/3u1,0005074,0.137,"80g, 140g, 155g",Vrecica,,2.99,19.29,8445290749413,Piæe,2.99
"BO Kruh s krumpirom, 400g",0005083,0.4,400g,Rasuto,,1.15,2.88,3858881509986,Hrana,1.15
"Argeta Kokošja pašteta SK2, 95g",0005140,0.095,95g,Limenka,,1.39,14.63,3838471043977,Hrana,1.39
"Argeta Kokošja pašteta SK2, 95g",0005140,0.095,95g,Limenka,,1.39,14.63,3838975567009,Hrana,1.39
Pivac Chardonnay,0005351,1.985,2l,PET-Boca,,2.89,1.45,5310140009326,Piæe,2.89
"Brašno TIP 400 oštro, 5kg",0005445,5,5kg,Pakovanje,Belbake,2.85,0.57,20366643,Hrana,2.85
"Instant napitak 3u1, 10x18g",0005543,0.18,180g,Vrecica,Bellarom,1.33,7.39,20117726,Piæe,1.33
"Èajni kolutiæi SK1, RFA",0005588,0.767,"700g,800g",Vrecica,Tastino,2.59,3.7,20538156,Hrana,2.59
"Èajni kolutiæi SK1, RFA",0005588,0.767,"700g,800g",Vrecica,Tastino,2.59,3.24,20538156,Hrana,2.59
"Svježi pileæi želuci, 500g",0005594,0.5,500g,Atmos-Pakiranje,,1.49,2.98,4056489074199,Hrana,1.49
Svježa pileæa jetra i srca,0005595,0.5,500g,Atmos-Pakiranje,Naša mesnica,1.4,2.8,4056489074182,Hrana,1.59
Svježi pileæi filet,0005607,1,ca. 500g,Atmos-Pakiranje,Naša mesnica,7.39,7.39,2136943000000,Hrana,7.39
Svježi pileæi filet,0005607,1,ca. 500g,Atmos-Pakiranje,Naša mesnica,7.39,7.39,2852022000000,Hrana,7.39
Svježi pileæi filet,0005607,1,ca. 500g,Atmos-Pakiranje,Naša mesnica,7.39,7.39,2852026000000,Hrana,7.39
"Coca Cola 5+1 gratis, 6x0,33l",0005627,2.06,"6x0,33l",Limenka,Coca-Cola,5.25,3.18,5000112619324,Piæe,5.25
Axe gel za tuširanje sort.,0005639,0.257,250ml,Boca,,2.99,11.96,54024892,Kozmetika,2.99
Axe gel za tuširanje sort.,0005639,0.257,250ml,Boca,,2.99,11.96,8710447276587,Kozmetika,2.99
Axe gel za tuširanje sort.,0005639,0.257,250ml,Boca,,2.99,11.96,8712561617901,Kozmetika,2.99
"Èoko. vafli kokos, UTZ, RFA",0005711,0.04,40g,Pakovanje,Sondey,0.39,0.39,20350536,Hrana,0.39
Argeta Junior kokošja pašteta 3x95g,0005751,0.285,3x95g,Pakovanje,,3.19,11.19,3838471033541,Hrana,3.49
Tic Tac SK5,0005761,0.018,18g,Pakovanje,,0.79,0.79,42276616,Hrana,0.79
