NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,PAKIRANJE,MARKA,MALOPRODAJNA_CIJENA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
Toaletni papir 4-sloja,0178482,0.212,16x180Blatt,Pakovanje,Floralys,6.29,0.39,4056489668824,Proizvodi za kuæanstvo,6.29
Profiteroli,0178604,0.45,450g,Pakovanje,Italiamo,2.99,6.64,4056489671756,Hrana,2.99
Café Gold RFA,0178757,0.25,250g,Vakumir. pakov.,Bellarom,4.59,18.36,4056489600640,Piæe,3.69
Pripravak od sušene rajèice,0178938,0.19,190g,Staklo,Duc de Coeur,1.29,6.79,4056489682721,Hrana,1.29
Voæni napitak mango-vanilija,0179137,1.04,1l,Pakovanje,Solevita,1.99,1.99,4056489687047,Piæe,1.99
"Bio napitak od zobi, okus èokolada",0179288,1.036,1000ml,Karton,Vemondo,1.79,1.79,4056489687610,Hrana,1.79
"Škripavac, meki sir",6905627,0.3,300g,Vakumir. pakov.,Okusi zavièaja,3.89,12.97,4056489316602,Hrana,3.89
Plidenta Pasta za zube SK1,6905645,0.095,75ml,Pakovanje,,2.09,27.87,3856007908033,Kozmetika,2.09
Boom Box Zobena granola/èokol.,6905672,0.3,300g,Pakovanje,,3.49,11.63,3858890477344,Hrana,3.49
Kraš PreKrašni Kolaèiæi sa noug. p.,6905694,0.22,220g,Vrecica,,1.89,8.59,3850102011254,Hrana,1.89
Dipterol Natural Roll On pos. uboda,6905740,0.074,74g,Pakovanje,,4.68,63.24,3856007906251,Proizvodi za kuæanstvo,4.68
BO Domaæi klipiæ punjen šu. i sir.,6905746,0.07,70g,Rasuto,,0.99,14.14,3858889618178,Hrana,0.99
Borotalco Dezod. u spreju Acti.Sea ,6905776,0.09,150ml,Pakovanje,,3.69,24.6,8002410043594,Kozmetika,3.69
Tagliatelle bez glutena,6001116,0.25,250g,Atmos-Posudica,Chef Select,2.39,9.56,20686338,Hrana,2.39
Gotova jela tjestenina SK1,6001772,0.175,175g,Vrecica,Kania,1.69,9.66,20162191,Hrana,1.69
Goveða šunka Bresaola,6002492,0.08,80g,Atmos-Pakiranje,Deluxe,2.99,37.38,20378905,Hrana,2.99
Krumpir srca dvobojna,6002711,0.5,500g,Atmos-Posudica,Für Dich ,2.19,4.38,20342890,Hrana,2.19
Bezglutenski muffini,6003413,0.2,4x50g,Vrecica,Confiserie Firenze,2.49,12.45,20822385,Hrana,2.49
Lješnjak krem namaz 13%,6003961,0.75,750g,Staklo,Choco Nussa,3.79,5.05,20593735,Hrana,3.85
Namaz od lješnjaka,6003963,0.75,750g,Staklo,Choco Nussa,3.85,5.13,4056489162841,Hrana,3.85
Biskvit s punjenjem,6004432,0.168,6x28g,Kart. na prekl.,Milbona,1.79,10.65,20850449,Hrana,1.79
Ribani sušeni sir,6006350,0.25,250g,Dozator,Italiamo,4.29,17.16,20048686,Hrana,4.29
Pecorino Romano DOP,6006852,0.2,200g,Vakumir. pakov.,Italiamo,4.99,24.95,20052515,Hrana,4.99
Gorgonzola DOP s korom SK1,6007296,0.2,200g,Pakovanje,Milbona,2.29,11.45,20053468,Hrana,3.25
"Èajno pecivo s kakaom, UTZ",6008224,0.4,400g,Vrecica,Sondey,1.99,4.98,20264666,Hrana,1.99
Philips Aparat za šišanje,0410681,0.382,1ST,Pakovanje,,15,15,8710103970965,Kozmetika,15
Mlijeèni desert vanil. i èoko. SK3,5701233,0.135,"130g,140g",Pakovanje,Sol&Mar,1.59,12.23,20705534,Hrana,1.59
Maslinovo ulje u spreju SK11,5701525,0.183,200ml,Limenka,Kania,2.89,14.45,20879020,Hrana,2.89
Biskvit torta SK2,5702871,0.347,"330g,370g",Pakovanje,Sol&Mar,1.89,5.73,20421151,Hrana,1.89
Biskvit torta SK2,5702871,0.347,"330g,370g",Pakovanje,Sol&Mar,1.89,5.11,20421236,Hrana,1.89
Osvježivaè za auto SK1,5702896,0.005,6ml,Boca,W5,1.29,215,20037437,Sredstva za èišæenje,1.29
Osvježivaè za auto SK1,5702896,0.005,6ml,Boca,W5,1.29,215,20037536,Sredstva za èišæenje,1.29
Osvježivaè za auto SK1,5702896,0.005,6ml,Boca,W5,1.29,215,20527174,Sredstva za èišæenje,1.29
Chorizo Extra kobasica,5704737,0.2,2x100g,Atmos-Posudica,Dulano Selection,2.79,13.95,20796549,Hrana,2.79
Tvrdi sir SK3,5704773,0.22,220g,Vakumir. pakov.,Sol&Mar,4.29,19.5,20645250,Hrana,4.29
Guacamole umak,5705438,0.2,200g,Plitica,El Tequito,2.19,10.95,20880514,Hrana,1.69
Bio wellness èaj SK7,5707655,0.024,12x2g,Karton,Lord Nelson,2.89,120.42,4056489140368,Piæe,2.89
Somersby Mango Cider,6906415,0.5,"0,5l",Limenka,,1.69,3.38,8600331002029,Piæe,1.69
Varžak Med Lipa,6906422,0.45,450g,Staklo,,4.77,10.6,3859893439216,Hrana,4.77
"Guinness Draught 4,2%",6906423,1.8,"4x0,44l",Limenka,,8.49,4.82,5000213010785,Piæe,8.49
Nila Mixed Happy Color 68 pranja,6906442,3.796,"3,7l",PET-Boca,,4.99,1.35,3850105180704,Sredstva za èišæenje,4.99
Ornel Omekšivaè Flower G. 150 pr.,6906445,3.75,"3,75l",PET-Boca,,4.25,1.13,3850105177322,Sredstva za èišæenje,4.25
Faks Deterdžent za pr. rublja 90pr.,6906451,5.85,"5,85kg",Vrecica,,14.99,2.56,3850105176738,Sredstva za èišæenje,14.99
Marelica nektar,6906562,1.061,1l,Pakovanje,Solevita,1.69,1.69,4056489610991,Piæe,1.59
Lino Lada Gold Namaz,6906696,0.65,650g,Staklo,,4.79,7.37,3856020259914,Hrana,4.79
BO Somun send. s pur. šun. i sirom ,6907018,0.16,160g,Rasuto,,1.29,8.06,3858893941859,Hrana,1.29
BO Somun send. s pur. šun. i sirom ,6907018,0.16,160g,Rasuto,,1.29,8.06,4052917666721,Hrana,1.29
Svježi filet brancina,6907049,0.37,370g,Atmos-Pakiranje,Naša ribarnica,9.99,27,4056489611547,Hrana,9.99
Džem od višnje,6907111,0.63,630g,Staklo,Okusi zavièaja,2.49,3.95,4056489611523,Hrana,2.49
WC Net Crystal Pink Gel za èišæenje,6907112,1.5,2x750ml,Pakovanje,,3.15,2.1,3859892558772,Sredstva za èišæenje,3.15
Lasta Krem štapiæi lješnjak,6907120,0.2,200g,Pakovanje,,1.85,9.25,3870128030060,Hrana,1.85
Nila Tek.deterdžent 50 pranja SK1,6907141,2.7,"2,7l",PET-Boca,,8.89,0.18,3850105169662,Sredstva za èišæenje,9.29
Arf Cream Tekuæi abraziv SK1,6907145,0.4,400ml,PET-Boca,,1.89,4.73,3850105181596,Sredstva za èišæenje,2.15
Sirup borovnica light,6907159,1.003,1l,PET-Boca,-,1.29,1.29,4304493260191,Piæe,1.29
Dove Dezodorans SK1,6907175,0.15,150ml,Pakovanje,,5.19,34.6,8717163994252,Kozmetika,5.35
The Garden Brewery Craft pivo SK3,6907187,0.443,"0,44l",Limenka,,1.85,4.2,3858893811589,Piæe,1.85
Sredstvo za uklanjanje masnoæa,6907204,1.015,1l,PET-Boca,-,1.89,1.89,4056489611622,Sredstva za èišæenje,1.89
Eva Sardine u biljnom ulju,6907224,0.1,100g,Limenka,,1.06,10.6,3856020262525,Hrana,1.06
Vincinni Tortina mlijeèna krema,6907234,0.2,200g,Pakovanje,,1.19,5.95,5310115001089,Hrana,1.19
Vincinni Tiramisu torta,6907235,0.4,400g,Pakovanje,,2.65,6.63,5310345008674,Hrana,2.65
Istarski žlomprt narezak,6907238,0.1,100g,Atmos-Pakiranje,Okusi zavièaja,1.99,19.9,4056489611790,Hrana,2.69
Ekos Sacher kocka,6907244,0.45,450g,Pakovanje,,4.99,11.09,3858889618796,Hrana,4.99
Zvijezda Suncokretovo ulje RETRO,6907248,1.1,"1,2l",Boca,,1.85,1.54,3856015320926,Hrana,1.85
Arf WC osvježivaè limun,6907254,0.11,2x55g,Pakovanje,,1.99,18.09,3850105174895,Sredstva za èišæenje,1.99
Arf sred. za èišæ. stak. Antistatic,6907256,0.65,650ml,Boca,,1.49,2.29,3850105181107,Sredstva za èišæenje,1.49
'z bregov Prot. -ml. pr. nap.Nougat,6907263,0.5,"0,5l",Pakovanje,,2.49,4.98,3850108023633,Hrana,2.49
Dipterol Natural Losion 2u1,6907280,0.13,125ml,Pakovanje,,8.89,71.12,3856007910937,Proizvodi za kuæanstvo,8.89
Slatki kukuruz u zrnu (ATG 3x140g),6410443,0.48,3x212ml,Limenka,Freshona,2.69,6.4,4056489499664,Hrana,Nije_bilo_u_prodaji_02.05.2025
Goldenfood File paèjih prsa,6410893,1,"cca. 0,4-0,6kg",Vakumir. pakov.,,9.99,9.99,2898031000000,Hrana,9.99
Goldenfood File paèjih prsa,6410893,1,"cca. 0,4-0,6kg",Vakumir. pakov.,,9.99,9.99,2898032000000,Hrana,9.99
Goldenfood File paèjih prsa,6410893,1,"cca. 0,4-0,6kg",Vakumir. pakov.,,9.99,9.99,2898038000000,Hrana,9.99
Goldenfood Svj. paèji batak-zabatak,6410895,1,"cca. 0,4-0,6kg",Vakumir. pakov.,,8.99,8.99,2898050000000,Hrana,8.99
Goldenfood Svj. paèji batak-zabatak,6410895,1,"cca. 0,4-0,6kg",Vakumir. pakov.,,8.99,8.99,2898051000000,Hrana,8.99
Goldenfood Svj. paèji batak-zabatak,6410895,1,"cca. 0,4-0,6kg",Vakumir. pakov.,,8.99,8.99,2898056000000,Hrana,8.99
Goldenfood Svj. paèji batak-zabatak,6410895,1,"cca. 0,4-0,6kg",Vakumir. pakov.,,8.99,8.99,2898057000000,Hrana,8.99
Goldenfood Svj. paèji batak-zabatak,6410895,1,"cca. 0,4-0,6kg",Vakumir. pakov.,,8.99,8.99,2898059000000,Hrana,8.99
Party-mix,6411077,0.38,380g,Vakumir. pakov.,Grillmeister,2.99,7.87,4056489500711,Hrana,2.99
Palaèinke na amerièki naèin,6600113,0.3,300g,Pakovanje,MCENNEDY,2.29,7.63,20385286,Hrana,2.29
Jelly Beans SK2,6601532,0.25,250g,Vrecica,MCENNEDY,1.59,6.36,20192716,Hrana,1.59
Amerièki sladoled SK16,6601570,0.43,"485ml,500ml",Posudica,Gelatelli,3.99,7.98,20396152,Hrana,3.99
Amerièki sladoled SK16,6601570,0.43,"485ml,500ml",Posudica,Gelatelli,3.99,8.23,20559687,Hrana,3.99
Amerièki sladoled SK16,6601570,0.43,"485ml,500ml",Posudica,Gelatelli,3.99,8.23,4056489284567,Hrana,3.99
Amerièki sladoled SK16,6601570,0.43,"485ml,500ml",Posudica,Gelatelli,3.99,7.98,4056489284574,Hrana,3.99
Žele bomboni SK1,6603918,0.2,200g,Samost.vreca,Sweet Corner,1.61,8.05,20714710,Hrana,1.79
UFO Keksi,6608053,0.185,185g,Pakovanje,Sondey,2.39,12.92,4056489340256,Hrana,2.39
Sladoled Classic mix,6610076,0.457,4x150ml,Plitica,Gelatelli,6.19,10.32,4056489625827,Hrana,6.19
Premium sladoled SK1,6610962,0.423,500ml,Posudica,Gelatelli,3.99,7.98,4056489792550,Hrana,3.99
Povrtni wrap SK7,6612810,0.37,370g,Pakovanje,Vemondo,1.79,4.84,4056489476672,Hrana,1.79
Gulaš SK6,6700114,0.4,400g,Limenka,Pikok,1.99,4.98,20470579,Hrana,1.99
Müsli ploèice malina,6700577,0.03,30g,Pakovanje,First Nice,0.29,0.29,20231231,Hrana,0.29
Topljeni sir u listiæima,0146567,0.4,400g,Pakovanje,Milbona,2.99,7.48,4056489105442,Hrana,2.99
Tjestenina Fussili XXL,0146617,1.2,"1,2kg",Vrecica,Combino,1.89,1.58,4056489105718,Hrana,1.89
Nola upaljaè,0146648,0.053,1komad,Kart. na prekl.,,1.15,1.15,4334035538334,Proizvodi za kuæanstvo,1.15
Svježi prirodni sok SK16,0146799,1.045,1l,PET-Boca,Solevita,3.19,3.19,4304493265547,Hrana,3.19
Svježi prirodni sok SK16,0146799,1.045,1l,PET-Boca,Solevita,3.19,3.19,4304493265554,Hrana,3.19
Set zaèina za Gin Tonic,0147077,0.04,40g,Pakovanje,Deluxe,4.29,4.29,4056489117995,Hrana,4.29
Lisnato tijesto  s maslacem XXL SK1,0147311,0.2,200g,Pakovanje,Snack Day,1.89,9.45,4056489113652,Hrana,1.89
Tvrdi ribani sir,0147342,0.1,100g,Vrecica,Milbona,1.29,12.9,4056489127345,Hrana,1.29
Gestos ARG Malbec,0147431,0.75,"0,75l",Boca,,4.49,5.99,7790470083728,Piæe,4.49
"Mars,Snickers,Twix,Bou.Minis SK2",0147829,0.275,275g,Vrecica,,3.59,13.05,5000159473354,Hrana,3.59
"Mars,Snickers,Twix,Bou.Minis SK2",0147829,0.275,275g,Vrecica,,3.59,13.05,5000159474931,Hrana,3.59
Pasta Mac&Cheese,0148160,1,1kg,Plitica,MCENNEDY,4.39,4.39,4056489149507,Hrana,4.39
"Svježi filet lososa, cca.1kg",0148255,1,cca.1kg,Vakumir. pakov.,,13.99,13.99,2868844000000,Hrana,13.49
Mesnata slanina XXL,0142363,0.3,2x150g,Pakovanje,Dulano,2.49,8.3,4056489618010,Hrana,3.19
Torta SK1,0142427,0.765,"700g,830g",Kart. na prekl.,Italiamo,7.99,9.63,4056489020943,Hrana,7.99
"Papirnate èaše za pivo 0,5l",0142486,0.135,10komad,Pakovanje,Grillmeister,1.99,0.2,4056489021605,Proizvodi za kuæanstvo,1.99
Bella Caffe DG Caffe Effi. Box Esp.,0142600,0.096,96g,Kart. na prekl.,Bellarom,3.79,39.48,8718657493367,Piæe,3.79
Žitarice SK2,0142679,0.5,500g,Vrecica,Campo Largo,1.19,2.38,20757755,Hrana,1.19
Papirnate èaše,0143002,0.34,50komad,Pakovanje,Grillmeister,2.89,0.06,4056489024101,Proizvodi za kuæanstvo,2.89
Èaj u piramida vreæicama UTZ SK36,0143058,0.036,"20x1,6g,20x2g",Kart. na prekl.,Lord Nelson,1.99,1.99,20410322,Piæe,1.99
Èaj u piramida vreæicama UTZ SK36,0143058,0.036,"20x1,6g,20x2g",Kart. na prekl.,Lord Nelson,1.99,1.99,4056489024279,Piæe,1.99
Vreæice za led SK2,0143080,0.058,20komad,Kart. na prekl.,Aromata,0.89,0.04,20155209,Proizvodi za kuæanstvo,0.89
Vreæice za led SK2,0143080,0.058,20komad,Kart. na prekl.,Aromata,0.89,0.04,20155216,Proizvodi za kuæanstvo,0.89
Grickalice za pse premium SK4,0143111,0.1,100g,Vrecica,Orlando Pure Taste,2.99,29.9,4056489024682,Proizvodi za kuæanstvo,2.99
MSC Surimi štapiæi,0143164,0.25,250g,Pakovanje,Ocean Sea,1.59,6.36,4056489025115,Hrana,1.59
Voæni sladoled na štapiæu,0143594,0.384,6x60ml,Kart. na prekl.,Gelatelli,1.84,5.11,4056489027485,Hrana,Nije_bilo_u_prodaji_02.05.2025
Pan. pil. innerfile Cornf. panada,6904316,1,ca.500g,Atmos-Posudica,Gourmet,9.25,9.25,2835169000000,Hrana,9.25
"Proviact tekuæi jogurt 1,0%",6904320,1,1kg,PET-Boca,Pilos,1.59,1.59,4304493259614,Hrana,1.59
BO Domaæa pogaèa,6904332,0.3,300g,Rasuto,,0.99,3.3,3859893442575,Hrana,0.99
Mozzarella u komadu XXL,6904356,0.7,700g,Vakumir. pakov.,,4.79,6.84,3858888598150,Hrana,4.79
"Svježe pile, cca. 2kg",6904372,1,ca. 2kg,Vrecica,,3.19,3.19,2146202000000,Hrana,3.19
"Svježe pile, cca. 2kg",6904372,1,ca. 2kg,Vrecica,,3.19,3.19,2146206000000,Hrana,3.19
"Dimljena šunka s kosti, cca. 6kg",6904437,1,ca. 6kg,Vakumir. pakov.,Pikok,4.89,4.89,2845192000000,Hrana,4.89
"Dimljena šunka s kosti, cca. 6kg",6904437,1,ca. 6kg,Vakumir. pakov.,Pikok,4.89,4.89,2845196000000,Hrana,4.89
"Dimljena šunka s kosti, cca. 6kg",6904437,1,ca. 6kg,Vakumir. pakov.,Pikok,4.89,4.89,2845199000000,Hrana,4.89
"Dimljena šunka s kosti, cca. 6kg",6904437,1,ca. 6kg,Vakumir. pakov.,Pikok,4.89,4.89,2851980000000,Hrana,4.89
Talijanski desert SK1,0133222,0.34,"4x80g,4x90g",Pakovanje,Milbona,2.79,8.72,40879079,Hrana,2.79
Svježi zrnati sir XXL SK2,0133625,0.3,300g,Posudica,Milbona,1.69,5.63,20994945,Hrana,1.69
Tijesto za pizzu XXL,0133682,0.55,550g,Pakovanje,Chef Select & You,1.85,3.36,4056489412328,Hrana,1.85
Eukaliptus-mentol bomboni XXL,0134012,0.36,360g,Vrecica,Amanie,1.29,3.58,40892191,Hrana,1.29
Èokoladne pahuljice XXL SK5,0134430,0.9,900g,Kart. na prekl.,Crownfield,3.99,4.43,4056489021469,Hrana,3.99
Sprej za sunèanje ZF 30,0134608,0.201,200ml,Boca,Cien Sun,5.99,29.95,4056489368403,Kozmetika,5.99
Sprej za sunèanje ZF 30,0134608,0.201,200ml,Boca,Cien Sun,5.99,29.95,4056489601692,Kozmetika,5.99
File aljaške kolje Bordelaise,0134881,0.4,400g,Kart. na prekl.,Ocean Sea,2.69,6.73,4052917010494,Hrana,2.69
Njega za pranje beba SK5,0135048,0.511,500ml,PET-Boca,Lupilu,2.25,4.5,20008802,Kozmetika,2.25
Njegujuæe ulje za bebe,0135051,0.276,300ml,PET-Boca,Lupilu,2.69,8.97,20008871,Kozmetika,2.69
Pik Rijeka Pita od oraha,6906724,0.45,450g,Pakovanje,,3.39,7.53,3850135265570,Hrana,3.39
O'Plant Biljni napitak riža,6906730,1.04,1l,Pakovanje,,1.99,1.99,3856020249939,Hrana,1.99
Lino Lada Duo,6906755,2.5,"2,5kg",Kanta,,13.99,5.6,3850104019791,Hrana,13.99
Ukrasna vreæica 32x26x12cm,6906786,0.08,1komad,Pakovanje,,1.45,1.45,3856023029521,Proizvodi za kuæanstvo,1.45
Ukrasna vreæica 32x26x12cm,6906786,0.08,1komad,Pakovanje,,1.45,1.45,3856023029545,Proizvodi za kuæanstvo,1.45
Kandit Žele kocke RETRO,6906851,0.32,320g,Kart. na prekl.,,1.99,6.22,3856024803724,Hrana,1.99
Violeta Baby vlažne maramice,6906919,1.21,4x56Blatt,Pakovanje,,4.59,1.15,3870128008182,Proizvodi za kuæanstvo,4.59
Pivac Dalmatinska panceta,6906932,1,cca. 800g,Vakumir. pakov.,,11.99,11.99,2118201000000,Hrana,11.99
BO Seljaèko pecivo,5522816,0.085,80g,Rasuto,,0.35,4.38,4056489061137,Hrana,0.35
BO Seljaèko pecivo,5522816,0.085,80g,Rasuto,,0.35,4.38,4334035826097,Hrana,0.35
Cappuccino SK4,5523540,0.13,130g,Vrecica,Bellarom,1.09,8.38,4056489622130,Piæe,1.09
Hrenovke od mesa svinjskog buta,5525684,0.25,250g,Atmos-Pakiranje,Pikok,1.89,7.56,4056489185413,Hrana,1.89
Det. za ruèno pranje posuða SK9,5525905,1.025,1l,PET-Boca,-,1.09,1.09,4056489179122,Sredstva za èišæenje,1.09
"Instant napitak 2u1, 10x14g",5529663,0.14,140g,Vrecica,Bellarom,1.25,8.93,4056489184171,Piæe,1.49
Voæni èaj SK1,5531343,0.04,20x2g,Kart. na prekl.,Lord Nelson,1.19,1.19,4056489184454,Piæe,1.19
Univ. bio. vl. maram. za èiš. SK1,5532381,0.476,80komad,Pakovanje,W5,1.99,0.02,4056489302100,Proizvodi za kuæanstvo,1.99
Univ. bio. vl. maram. za èiš. SK1,5532381,0.476,80komad,Pakovanje,W5,1.99,0.02,4056489304234,Proizvodi za kuæanstvo,1.99
"Pureæi filet XXL, cca. 1-1,5 kg",5533555,1,"ca.1-1,5kg",Vakumir. pakov.,RZEZNIK,7.69,7.69,2835550000000,Hrana,7.75
"Pureæi filet XXL, cca. 1-1,5 kg",5533555,1,"ca.1-1,5kg",Vakumir. pakov.,RZEZNIK,7.69,7.69,2835553000000,Hrana,7.75
"Pureæi filet XXL, cca. 1-1,5 kg",5533555,1,"ca.1-1,5kg",Vakumir. pakov.,RZEZNIK,7.69,7.69,2835556000000,Hrana,7.75
"Pureæi filet XXL, cca. 1-1,5 kg",5533555,1,"ca.1-1,5kg",Vakumir. pakov.,RZEZNIK,7.69,7.69,2894256000000,Hrana,7.75
Žele od višnje/naranèe u èok. SK2,5535118,0.19,190g,Kart. na prekl.,Mister Choc,1.79,9.42,4056489304036,Hrana,1.79
Suha šunka ili peèenica SK1,5535256,0.1,100g,Atmos-Pakiranje,Deluxe,1.99,19.9,4056489358534,Hrana,1.99
Bob Snail voæne rolice SK6,5538170,0.03,30g,Pakovanje,,1.19,1.19,4820162520309,Hrana,1.19
BBQ umak SK1,5543409,0.354,"350g,355g,360g",PET-Boca,Grillmeister,1.89,5.25,4056489584612,Hrana,1.89
Svinjska potrbušina peèena,5545654,1,cca. 400g,Atmos-Posudica,Kuljanka,9.79,9.79,2848037000000,Hrana,9.79
Škare za kosu- britvica,0430466,0.063,"1ST,1ZSE",Pakovanje,,3,3,4058143086951,Kozmetika,3
Škare za kosu- britvica,0430466,0.063,"1ST,1ZSE",Pakovanje,,3,3,4058143086968,Kozmetika,3
Mini burek rolice SK3,0186840,0.32,320g,Kart. na prekl.,1001 delights,3.49,10.91,20793166,Hrana,3.49
Scotch Whisky 40% Vol.,0187015,1.4,"1,5l",Boca,Queen Margot,14.99,9.99,4304493270688,Piæe,14.99
Sapun za ruke Prem. Sizil. St. SK1,0188537,0.515,500ml,PET-Boca,Cien,1.99,3.98,4056489827009,Kozmetika,1.99
Sapun za ruke Prem. Sizil. St. SK1,0188537,0.515,500ml,PET-Boca,Cien,1.99,3.98,4056489827023,Kozmetika,1.99
Sapun za ruke Prem. Sizil. St. SK1,0188537,0.515,500ml,PET-Boca,Cien,1.99,3.98,4335619161177,Kozmetika,1.99
Kremasti gel za tuširanje SK1,0188543,0.412,400ml,PET-Boca,Cien,0.99,2.48,4056489827153,Kozmetika,0.99
Kremasti gel za tuširanje SK1,0188543,0.412,400ml,PET-Boca,Cien,0.99,2.48,4056489827160,Kozmetika,0.99
Muški gel za tuširanje Sommer SK2,0188610,0.412,400ml,Boca,Cien men,1.29,3.23,4056489482413,Kozmetika,1.29
Mediteranski zaèini SK2,0189653,0.027,"16g,27g,28g,30g,35g",Staklo,Italiamo,1.59,58.89,20046262,Hrana,1.59
Mediteranski zaèini SK2,0189653,0.027,"16g,27g,28g,30g,35g",Staklo,Italiamo,1.59,58.89,20046361,Hrana,1.59
Mediteranski zaèini SK2,0189653,0.027,"16g,27g,28g,30g,35g",Staklo,Italiamo,1.59,99.38,20046385,Hrana,1.59
Mediteranski zaèini SK2,0189653,0.027,"16g,27g,28g,30g,35g",Staklo,Italiamo,1.59,53,20046392,Hrana,1.59
Internacionalna gotova jela SK1,0189655,0.825,825g,Plitica,Chef Select,3.29,3.99,4056489821762,Hrana,3.29
Osvježivaè WC školjke SK2,0190620,0.099,3x33g,Blister,W5,2.45,24.75,4056489585558,Sredstva za èišæenje,2.45
Mlijeèni desert SK70,0190738,0.502,900ml,Plitica,Bon Gelati,3.99,4.43,4056489786092,Hrana,3.99
Kokice za mikrovalnu peænicu SK1,0190773,0.3,3x100g,Pakovanje,MCENNEDY,0.99,3.3,20141486,Hrana,0.99
Umak sa sirom Feta SK1,0192504,0.177,175ml,Staklo,Eridanous,2.29,13.09,4056489864936,Hrana,1.9
Šeæerna dekoracija Uskrs SK33,0192649,0.027,"11g,12g,16g,25g,4x25g",Kart. na prekl.,Belbake,1.99,165.83,4056489442264,Hrana,1.99
Šeæerna dekoracija Uskrs SK33,0192649,0.027,"11g,12g,16g,25g,4x25g",Kart. na prekl.,Belbake,1.99,124.38,4056489442271,Hrana,1.99
Šeæerna dekoracija Uskrs SK33,0192649,0.027,"11g,12g,16g,25g,4x25g",Kart. na prekl.,Belbake,1.99,79.6,4056489442271,Hrana,1.99
Šeæerna dekoracija Uskrs SK33,0192649,0.027,"11g,12g,16g,25g,4x25g",Kart. na prekl.,Belbake,1.99,180.91,4056489865667,Hrana,1.99
Šeæerna dekoracija Uskrs SK33,0192649,0.027,"11g,12g,16g,25g,4x25g",Kart. na prekl.,Belbake,1.99,124.38,4056489865667,Hrana,1.99
Šeæerna dekoracija Uskrs SK33,0192649,0.027,"11g,12g,16g,25g,4x25g",Kart. na prekl.,Belbake,1.99,124.38,4056489865711,Hrana,1.99
Uskršnje šeæerne dekoracije SK21,0192651,0.1,4x25g,Kart. na prekl.,Belbake,2.69,26.9,4056489865391,Hrana,2.69
BO Pecivo sa sjemenkama,0192844,0.095,90g,Rasuto,,0.39,4.33,4056489869450,Hrana,0.39
Zamjenski ulošci za britvicu,0193291,0.021,4komad,Kart. na prekl.,Cien,4.59,1.15,4056489874003,Kozmetika,4.59
"Bio kašica mlj. meso, kru., povræe",0193597,0.19,190g,Staklo,Lupilu,0.95,5,4056489882176,Hrana,0.95
Punjeni Mochis SK1,0193909,0.18,6x30g,Kart. na prekl.,Deluxe,3.99,22.17,4056489883166,Hrana,3.99
Kokteli 15% SK1,0193932,0.684,0.700l,Boca,,5.49,7.84,4304493269002,Piæe,5.49
Tekuæi deterdžent za rublje SK1,0194399,3.1,3l,PET-Boca,Maxitrat,4.99,4.99,4056489889397,Sredstva za èišæenje,4.99
Edamame SK1,0194604,0.15,150g,Plitica,Vitasia,1.39,9.27,4056489889731,Hrana,1.39
Pribor za manikuru,0435991,0.018,1ST,Pakovanje,Cien BEAUTY,0.5,0.5,4335633000261,Kozmetika,0.5
Pag 91 Kuh. morska sol sitna doz.,6907873,0.25,250g,Dozator,,0.79,3.16,3859888817166,Hrana,0.99
Pag 91 Morska sol krupna ,6907874,1,1kg,Vrecica,,0.49,0.49,3859888817036,Hrana,0.49
Podravka Džem od šipka,6907952,0.67,670g,Staklo,,2.79,4.16,3856020252243,Hrana,2.79
BO Burek s mesom,6907962,0.21,210g,Rasuto,,1.49,7.1,4053216194762,Hrana,1.49
"PP Svježe ""Meðimursko"" mar. pile",6907974,1,"ca. 1,6kg",Pakovanje,,3.69,3.69,2114385000000,Hrana,3.69
Spirits of Croatia Voæ. lik. od du.,6907990,0.5,"0,5l",Boca,,7.49,14.98,3859894287052,Piæe,7.49
"Violeta Toaletni papir 3sl, Pure&St",6908034,1.516,24x110Blatt,Pakovanje,,4.99,0.21,3858893660255,Proizvodi za kuæanstvo,4.99
Sunlove Vosak za kosu ,6908047,0.083,100ml,Kozm.posudica,,2.99,29.9,3850177003826,Kozmetika,2.99
Sunlove Uljni gel za tuširanje SK1,6908054,0.256,250ml,PET-Boca,,2.59,10.36,3850177003833,Kozmetika,2.59
BO Domaæi craft klipiæ,6908106,0.06,60g,Rasuto,,0.62,10.33,3858889619038,Hrana,0.59
Mini napolitanke SK1,6908123,0.2,200g,Sortirano,Sondey,0.99,4.95,4056489925491,Hrana,0.99
Aquafresh Pasta za zube SK2,6908130,0.1,100ml,Tuba,,2.69,26.9,5999518578062,Kozmetika,2.69
Aquafresh Pasta za zube SK2,6908130,0.1,100ml,Tuba,,2.69,26.9,5999518578079,Kozmetika,2.69
Corny Banana,6908140,0.05,50g,Pakovanje,,1.19,23.8,4011800584511,Hrana,1.19
PIK Natur mortadela narezana,6908156,0.125,125g,Atmos-Pakiranje,,1.49,11.92,3850139282153,Hrana,1.49
Lino Lada Namaz Duo,6908205,0.77,770g,Staklo,,5.19,6.74,3856020272739,Hrana,5.19
Durex Kondomi SK1,6908219,0.019,6komad,Pakovanje,,5.99,1,5997321774909,Proizvodi za kuæanstvo,5.99
Limun 500g,0080170,0.5,500g,Pakovanje,,0.99,1.98,20241834,Hrana,0.99
